Date;Hour;C Ciències Trafo 1 (General) [kWh] [C-Ciencies];C Ciències Trafo 2 (General) [kWh] [C-Ciencies]
01/01/2018;00:00;153,87;98,13
01/01/2018;01:00;157,87;96,00
01/01/2018;02:00;158,27;97,87
01/01/2018;03:00;159,60;98,13
01/01/2018;04:00;156,27;96,13
01/01/2018;05:00;160,00;103,87
01/01/2018;06:00;164,27;98,13
01/01/2018;07:00;175,73;104,00
01/01/2018;08:00;164,00;105,87
01/01/2018;09:00;163,87;104,13
01/01/2018;10:00;160,27;104,00
01/01/2018;11:00;165,87;104,13
01/01/2018;12:00;161,87;104,00
01/01/2018;13:00;166,00;104,00
01/01/2018;14:00;164,00;105,87
01/01/2018;15:00;164,27;108,00
01/01/2018;16:00;162,80;106,13
01/01/2018;17:00;234,53;108,00
01/01/2018;18:00;246,00;103,87
01/01/2018;19:00;242,00;101,87
01/01/2018;20:00;245,87;98,00
01/01/2018;21:00;243,87;98,13
01/01/2018;22:00;238,00;97,87
01/01/2018;23:00;230,93;96,00
02/01/2018;00:00;161,73;96,00
02/01/2018;01:00;156,40;96,00
02/01/2018;02:00;160,00;96,00
02/01/2018;03:00;159,73;95,87
02/01/2018;04:00;159,73;94,27
02/01/2018;05:00;120,27;50,00
02/01/2018;06:00;164,13;102,13
02/01/2018;07:00;168,13;112,13
02/01/2018;08:00;184,27;122,00
02/01/2018;09:00;194,40;128,13
02/01/2018;10:00;202,13;142,27
02/01/2018;11:00;224,00;148,27
02/01/2018;12:00;229,87;149,87
02/01/2018;13:00;222,40;145,87
02/01/2018;14:00;223,47;139,87
02/01/2018;15:00;201,87;136,13
02/01/2018;16:00;204,80;139,73
02/01/2018;17:00;272,40;136,00
02/01/2018;18:00;277,87;136,00
02/01/2018;19:00;266,00;119,73
02/01/2018;20:00;261,87;103,73
02/01/2018;21:00;251,87;100,27
02/01/2018;22:00;241,73;99,73
02/01/2018;23:00;238,93;100,00
03/01/2018;00:00;165,87;100,00
03/01/2018;01:00;160,00;100,27
03/01/2018;02:00;164,00;103,73
03/01/2018;03:00;161,87;100,13
03/01/2018;04:00;160,13;100,13
03/01/2018;05:00;166,53;104,00
03/01/2018;06:00;177,87;104,27
03/01/2018;07:00;181,87;120,00
03/01/2018;08:00;200,67;124,00
03/01/2018;09:00;216,27;136,27
03/01/2018;10:00;232,00;154,40
03/01/2018;11:00;221,87;163,73
03/01/2018;12:00;213,73;160,00
03/01/2018;13:00;200,00;158,13
03/01/2018;14:00;208,00;155,73
03/01/2018;15:00;199,73;144,00
03/01/2018;16:00;194,53;144,00
03/01/2018;17:00;250,53;142,00
03/01/2018;18:00;260,27;135,87
03/01/2018;19:00;267,73;123,73
03/01/2018;20:00;263,87;113,73
03/01/2018;21:00;255,87;108,13
03/01/2018;22:00;244,00;105,87
03/01/2018;23:00;234,93;101,87
04/01/2018;00:00;164,00;100,27
04/01/2018;01:00;163,73;103,73
04/01/2018;02:00;164,27;102,13
04/01/2018;03:00;160,00;101,87
04/01/2018;04:00;163,73;100,27
04/01/2018;05:00;172,13;105,87
04/01/2018;06:00;172,40;106,27
