Mes;Consum [kWh]
Gen 2018;643711
Feb 2018;704217
Mar 2018;651788
Abr 2018;264580
Mai 2018;13743
Jun 2018;13316
Jul 2018;10186
Ago 2018;4804
Set 2018;12098
Oct 2018;106789
Nov 2018;542272
Des 2018;489553
Gen 2019;808181
Feb 2019;699565
Mar 2019;513630
Abr 2019;248680
Mai 2019;78908
Jun 2019;12231
Jul 2019;9748
Ago 2019;2408
Set 2019;9437
Oct 2019;34803
Nov 2019;452691
Des 2019;382939
Gen 2020;723838
Feb 2020;491013
Mar 2020;191020
Abr 2020;2343
Mai 2020;1907
Jun 2020;397
Jul 2020;402
Ago 2020;370
Set 2020;8487
Oct 2020;137488
Nov 2020;361717
Des 2020;533713
Gen 2021;690995
Feb 2021;469470
Mar 2021;390780
Abr 2021;302642
Mai 2021;52039
Jun 2021;2978
Jul 2021;1410
Ago 2021;469
Set 2021;5619
Oct 2021;52484
Nov 2021;363206
Des 2021;715713
Gen 2022;590385
Feb 2022;574187
Mar 2022;593268
Abr 2022;278394
Mai 2022;8973
Jun 2022;5880
Jul 2022;4815
Ago 2022;1930
Set 2022;5588
Oct 2022;12510
Nov 2022;269764
Des 2022;370235
Totals;14926707
