Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Accés per a minusvàlids;Aire condicionat;Capacitat exàmens;Capacitat;Capacitat docència;Connexió xarxa;Mobiliari;Porta secundària;Roseta xarxa núm.;Telèfon núm.;Televisor;Característiques específiques;;Valor característiques específiques;;Centre gestor;Superfície Centre Gestor;Metres;
CB/113;C;Sala d'actes, reunions i juntes;Sala de reunions;;No;;;;16;;Taula i cadires; ; ;;;Aire condicionat;;Sí;;Fac. Ciències;12,5;25;
;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;12,5;;
CB/115;C;Sala d'actes, reunions i juntes;Sala de Reunions;;No;;;;10;;Taula i cadires; ; ;;;Aire condicionat;;Sí;;Fac. Ciències;12,5;25;
;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;Gravació i transmissió per internet;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Pantalla fixa;;Sí;;;;;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;Videoconferència;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;12,5;;
C1/022;C;Sala d'actes, reunions i juntes;Sala reunions del CRM;;Sí;;;;20;;Taula i cadires; ; ;;;Connexió a la xarxa (nombre);;20;;Adm. Ciències i Biociències;37,0;37;
;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
C1/030;C;Sala d'actes, reunions i juntes;Sala;;No;;;;20;;Taules i cadires; ; ;;;Connexió a la xarxa (nombre);;10;;Dep. Matemàti.;33,0;33;
;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
C1/066-1;C;Sala d'actes, reunions i juntes;Sala Juntes;;No;;;;40;;Taula i cadires; ; ;;;Ordinador;;PC;;Facultat de Biociències;45,2;113;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;67,8;;
C1/068;C;Sala d'actes, reunions i juntes;Sala de vidre;;No;;;;14;;;;;;;;;;;Facultat de Biociències;21,6;54;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;32,4;;
C1/070-1;C;Sala d'actes, reunions i juntes;Sala graus;;No;;;;88;;Butaques; ; ;;;Aire condicionat;;Sí;;Facultat de Biociències;45,2;113;
;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Pantalla fixa;;Sí;;;;;
;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;Punter làser;;Sí;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;67,8;;
C1/-178;C;Sala d'actes, reunions i juntes;Sala d`actes i reunions;Segona porta  C1/-176;No;;;;230;;Butaques amb pala; ; ;;;Ordinador;;amb DVD - USB;;Fac. Ciències;154,2;257;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;;VHS-DVD;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;102,8;;
C1/234;C;Sala d'actes, reunions i juntes;Sala professors dep Matemàtiques;;No;;;;30;;Taules i cadires; ; ;;;Ordinador;; ;;Dep. Matemàti.;66,0;66;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
C1/240;C;Sala d'actes, reunions i juntes;Sala Reunions Matemàtiques;2ª Porta c1/234-1;No;;;;10;;Taules i cadires; ; ;;;Ordinador;; ;;Dep. Matemàti.;28,0;28;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
C2/002B;C;Sala d'actes, reunions i juntes;Sala de les Orles;;Sí;;;;17;;Taules i cadires; ; ;;;Canó projecció fix;;Sí;;Adm. Ciències i Biociències;22,0;22;
;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;Pantalla fixa;;Sí;;;;;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
C3B/118;C;Sala d'actes, reunions i juntes;Sala professorat dep Matemàtiques;;No;;;;20;;Taules i cadires; ; ;;;Ordinador;; ;;Dep. Matemàti.;34,0;34;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
C3/120;C;Sala d'actes, reunions i juntes;Sala reunions del dep. de Fisica;2ª porta c3/120-1;No;;;;30;;Taules i cadires; ; ;;;Ordinador;; ;;Dep. Física;24,0;24;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
C3/318;C;Sala d'actes, reunions i juntes;Sala reunions del dep. de Fisica;;No;;;;10;;Taules i cadires; ; ;;;Ordinador;; ;;Dep. Física;12,0;12;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
C3/412;C;Sala d'actes, reunions i juntes;Sala reunions del dep. de Fisica;;No;;;;10;;Taules i cadires; ; ;;;Ordinador;; ;;Dep. Física;23,0;23;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
C5/1066;C;Sala d'actes, reunions i juntes;Sala polivalent (Aules);;Sí;;;;20;;Taules i cadires; ; ;;;Aire condicionat;;Sí;;Dep.Biol.A.V.Ec.;76,0;76;
;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;Megafonia;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
