Date;Hour;I-Ciencies Comunicació (General) [kWh]
01/01/2018;00:00;22,53
01/01/2018;01:00;22,47
01/01/2018;02:00;22,53
01/01/2018;03:00;22,50
01/01/2018;04:00;22,50
01/01/2018;05:00;22,53
01/01/2018;06:00;25,00
01/01/2018;07:00;24,97
01/01/2018;08:00;21,50
01/01/2018;09:00;20,50
01/01/2018;10:00;21,00
01/01/2018;11:00;21,03
01/01/2018;12:00;21,00
01/01/2018;13:00;20,97
01/01/2018;14:00;21,50
01/01/2018;15:00;21,47
01/01/2018;16:00;21,03
01/01/2018;17:00;21,50
01/01/2018;18:00;24,57
01/01/2018;19:00;24,50
01/01/2018;20:00;22,93
01/01/2018;21:00;22,53
01/01/2018;22:00;22,47
01/01/2018;23:00;22,53
02/01/2018;00:00;22,00
02/01/2018;01:00;23,00
02/01/2018;02:00;22,97
02/01/2018;03:00;22,03
02/01/2018;04:00;22,97
02/01/2018;05:00;22,03
02/01/2018;06:00;25,03
02/01/2018;07:00;27,03
02/01/2018;08:00;26,47
02/01/2018;09:00;26,53
02/01/2018;10:00;27,00
02/01/2018;11:00;28,53
02/01/2018;12:00;29,47
02/01/2018;13:00;28,50
02/01/2018;14:00;28,50
02/01/2018;15:00;28,47
02/01/2018;16:00;27,53
02/01/2018;17:00;28,00
02/01/2018;18:00;30,53
02/01/2018;19:00;31,47
02/01/2018;20:00;29,03
02/01/2018;21:00;29,00
02/01/2018;22:00;29,03
02/01/2018;23:00;29,40
03/01/2018;00:00;28,57
03/01/2018;01:00;29,00
03/01/2018;02:00;29,00
03/01/2018;03:00;29,03
03/01/2018;04:00;29,93
03/01/2018;05:00;28,53
03/01/2018;06:00;31,03
03/01/2018;07:00;31,47
03/01/2018;08:00;28,43
03/01/2018;09:00;26,53
03/01/2018;10:00;29,03
03/01/2018;11:00;28,97
03/01/2018;12:00;29,00
03/01/2018;13:00;39,37
03/01/2018;14:00;53,77
03/01/2018;15:00;30,87
03/01/2018;16:00;30,00
03/01/2018;17:00;28,03
03/01/2018;18:00;31,07
03/01/2018;19:00;31,90
03/01/2018;20:00;29,07
03/01/2018;21:00;29,93
03/01/2018;22:00;29,07
03/01/2018;23:00;29,47
04/01/2018;00:00;29,47
04/01/2018;01:00;29,07
04/01/2018;02:00;29,93
04/01/2018;03:00;29,00
04/01/2018;04:00;30,00
04/01/2018;05:00;28,53
04/01/2018;06:00;31,53
04/01/2018;07:00;31,47
04/01/2018;08:00;29,47
04/01/2018;09:00;27,50
04/01/2018;10:00;27,00
04/01/2018;11:00;28,43
04/01/2018;12:00;28,07
04/01/2018;13:00;28,00
04/01/2018;14:00;29,03
04/01/2018;15:00;29,00
04/01/2018;16:00;29,47
04/01/2018;17:00;28,03
04/01/2018;18:00;31,00
04/01/2018;19:00;31,53
04/01/2018;20:00;29,43
04/01/2018;21:00;29,50
04/01/2018;22:00;28,07
04/01/2018;23:00;28,97
05/01/2018;00:00;28,97
05/01/2018;01:00;28,07
05/01/2018;02:00;28,93
05/01/2018;03:00;29,33
05/01/2018;04:00;48,00
05/01/2018;05:00;48,00
05/01/2018;06:00;49,27
05/01/2018;07:00;72,20
05/01/2018;08:00;75,07
05/01/2018;09:00;57,20
05/01/2018;10:00;30,00
05/01/2018;11:00;26,87
05/01/2018;12:00;25,04
05/01/2018;13:00;27,00
05/01/2018;14:00;25,00
05/01/2018;15:00;25,97
05/01/2018;16:00;23,97
05/01/2018;17:00;24,57
05/01/2018;18:00;28,53
05/01/2018;19:00;29,00
05/01/2018;20:00;26,00
05/01/2018;21:00;28,93
05/01/2018;22:00;25,50
05/01/2018;23:00;25,50
06/01/2018;00:00;25,00
06/01/2018;01:00;25,00
06/01/2018;02:00;25,00
06/01/2018;03:00;25,00
06/01/2018;04:00;25,07
06/01/2018;05:00;25,47
06/01/2018;06:00;26,57
06/01/2018;07:00;27,90
06/01/2018;08:00;24,00
06/01/2018;09:00;23,47
06/01/2018;10:00;23,53
06/01/2018;11:00;23,00
06/01/2018;12:00;23,53
06/01/2018;13:00;24,43
06/01/2018;14:00;23,57
06/01/2018;15:00;23,43
06/01/2018;16:00;23,03
06/01/2018;17:00;25,00
06/01/2018;18:00;27,07
06/01/2018;19:00;26,97
06/01/2018;20:00;25,97
06/01/2018;21:00;25,00
06/01/2018;22:00;25,53
06/01/2018;23:00;25,50
07/01/2018;00:00;25,00
07/01/2018;01:00;25,03
07/01/2018;02:00;25,93
07/01/2018;03:00;24,53
07/01/2018;04:00;25,50
07/01/2018;05:00;25,50
07/01/2018;06:00;26,53
07/01/2018;07:00;27,47
07/01/2018;08:00;24,47
07/01/2018;09:00;23,97
07/01/2018;10:00;23,00
07/01/2018;11:00;23,03
07/01/2018;12:00;23,94
07/01/2018;13:00;23,52
07/01/2018;14:00;24,53
07/01/2018;15:00;23,47
07/01/2018;16:00;23,57
07/01/2018;17:00;25,37
07/01/2018;18:00;66,40
07/01/2018;19:00;72,00
07/01/2018;20:00;69,47
07/01/2018;21:00;69,43
07/01/2018;22:00;68,03
07/01/2018;23:00;67,97
08/01/2018;00:00;68,03
08/01/2018;01:00;68,00
08/01/2018;02:00;68,00
08/01/2018;03:00;67,97
08/01/2018;04:00;70,10
08/01/2018;05:00;79,73
08/01/2018;06:00;90,87
08/01/2018;07:00;105,60
08/01/2018;08:00;135,37
08/01/2018;09:00;177,77
08/01/2018;10:00;183,17
08/01/2018;11:00;198,77
08/01/2018;12:00;192,67
08/01/2018;13:00;182,33
08/01/2018;14:00;171,43
08/01/2018;15:00;179,10
08/01/2018;16:00;171,77
08/01/2018;17:00;169,03
08/01/2018;18:00;156,70
08/01/2018;19:00;140,57
08/01/2018;20:00;115,33
08/01/2018;21:00;39,13
08/01/2018;22:00;31,97
08/01/2018;23:00;30,50
09/01/2018;00:00;30,53
09/01/2018;01:00;31,00
09/01/2018;02:00;30,93
09/01/2018;03:00;31,43
09/01/2018;04:00;73,03
09/01/2018;05:00;88,63
09/01/2018;06:00;101,30
09/01/2018;07:00;109,27
09/01/2018;08:00;139,33
09/01/2018;09:00;186,47
09/01/2018;10:00;198,47
09/01/2018;11:00;204,73
09/01/2018;12:00;214,47
09/01/2018;13:00;207,10
09/01/2018;14:00;185,30
09/01/2018;15:00;173,77
09/01/2018;16:00;161,77
09/01/2018;17:00;155,07
09/01/2018;18:00;151,60
09/01/2018;19:00;126,77
09/01/2018;20:00;109,90
09/01/2018;21:00;40,73
09/01/2018;22:00;32,90
09/01/2018;23:00;31,03
10/01/2018;00:00;31,53
10/01/2018;01:00;31,93
10/01/2018;02:00;31,53
10/01/2018;03:00;31,93
10/01/2018;04:00;75,43
10/01/2018;05:00;90,70
10/01/2018;06:00;101,40
10/01/2018;07:00;115,97
10/01/2018;08:00;125,83
10/01/2018;09:00;149,93
10/01/2018;10:00;174,80
10/01/2018;11:00;188,60
10/01/2018;12:00;191,07
10/01/2018;13:00;181,73
10/01/2018;14:00;171,73
10/01/2018;15:00;160,20
10/01/2018;16:00;173,83
10/01/2018;17:00;163,97
10/01/2018;18:00;152,67
10/01/2018;19:00;133,13
10/01/2018;20:00;109,00
10/01/2018;21:00;40,63
10/01/2018;22:00;33,43
10/01/2018;23:00;31,97
11/01/2018;00:00;32,03
11/01/2018;01:00;31,47
11/01/2018;02:00;32,53
11/01/2018;03:00;32,03
11/01/2018;04:00;75,83
11/01/2018;05:00;87,67
11/01/2018;06:00;101,68
11/01/2018;07:00;106,18
11/01/2018;08:00;138,67
11/01/2018;09:00;159,53
11/01/2018;10:00;167,73
11/01/2018;11:00;169,00
11/01/2018;12:00;169,70
11/01/2018;13:00;161,70
11/01/2018;14:00;158,27
11/01/2018;15:00;148,93
11/01/2018;16:00;145,00
11/01/2018;17:00;141,90
11/01/2018;18:00;137,23
11/01/2018;19:00;121,33
11/01/2018;20:00;109,57
11/01/2018;21:00;43,03
11/01/2018;22:00;32,00
11/01/2018;23:00;31,97
12/01/2018;00:00;31,03
12/01/2018;01:00;32,00
12/01/2018;02:00;31,00
12/01/2018;03:00;32,43
12/01/2018;04:00;74,90
12/01/2018;05:00;89,80
12/01/2018;06:00;105,27
12/01/2018;07:00;112,00
12/01/2018;08:00;138,27
12/01/2018;09:00;158,47
12/01/2018;10:00;163,13
12/01/2018;11:00;170,00
12/01/2018;12:00;162,87
12/01/2018;13:00;166,87
12/01/2018;14:00;151,93
12/01/2018;15:00;146,87
12/01/2018;16:00;140,00
12/01/2018;17:00;133,93
12/01/2018;18:00;127,70
12/01/2018;19:00;112,83
12/01/2018;20:00;96,47
12/01/2018;21:00;38,27
12/01/2018;22:00;30,93
12/01/2018;23:00;29,53
13/01/2018;00:00;30,47
13/01/2018;01:00;29,07
13/01/2018;02:00;30,93
13/01/2018;03:00;29,53
13/01/2018;04:00;30,53
13/01/2018;05:00;30,47
13/01/2018;06:00;32,00
13/01/2018;07:00;31,53
13/01/2018;08:00;29,47
13/01/2018;09:00;28,47
13/01/2018;10:00;28,50
13/01/2018;11:00;29,00
13/01/2018;12:00;29,50
13/01/2018;13:00;28,00
13/01/2018;14:00;29,00
13/01/2018;15:00;29,00
13/01/2018;16:00;29,00
13/01/2018;17:00;29,07
13/01/2018;18:00;32,00
13/01/2018;19:00;32,00
13/01/2018;20:00;30,47
13/01/2018;21:00;30,50
13/01/2018;22:00;30,00
13/01/2018;23:00;29,97
14/01/2018;00:00;29,53
14/01/2018;01:00;29,53
14/01/2018;02:00;29,93
14/01/2018;03:00;30,00
14/01/2018;04:00;29,07
14/01/2018;05:00;29,97
14/01/2018;06:00;32,00
14/01/2018;07:00;31,03
14/01/2018;08:00;28,93
14/01/2018;09:00;28,00
14/01/2018;10:00;28,00
