Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Accés per a minusvàlids;Aire condicionat;Capacitat exàmens;Capacitat;Capacitat docència;Connexió xarxa;Mobiliari;Pissarra;Porta secundària;Roseta xarxa núm.;Tarima;Telèfon núm.;Televisor;Vídeo;Característiques específiques;;Valor característiques específiques;;Centre gestor;Superfície Centre Gestor;Metres;
I/0044;I;Sala d'actes, reunions i juntes;Sala de reunions 44;;Sí;;;;23;;Taules i cadires;; ;I4-017/I4-018;;;;;Aire condicionat;;Sí;;Fac. CC. de la Comunicació;35,0;35;
;;;;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;Telèfon núm.;;4478;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I0/205A;I;Sala d'actes, reunions i juntes;Sala de Reunions;;Sí;;;;0;;Taules i cadires;; ; ;;;;;Aire condicionat;;Sí;;Dept. Period. Ciènc. Comunic.;4,4;22;
;;;;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;4,4;;
;;;;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;4,4;;
;;;;;;;;;;;;;;;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;4,4;;
;;;;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;4,4;;
I0/207D;I;Sala d'actes, reunions i juntes;Sala de Reunions;;Sí;;;;15;;Taula i cadires;; ; ;;;;;Aire condicionat;;Sí;;Dept. Period. Ciènc. Comunic.;30,0;30;
;;;;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;;;;Papelògraf;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I0/324;I;Sala d'actes, reunions i juntes;Sala de reunions del Deganat;;Sí;;;;15;;Taules i cadires;; ;Is-303;;;;;Aire condicionat;;Sí;;Fac. CC. de la Comunicació;28,0;28;
;;;;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I0/330;I;Sala d'actes, reunions i juntes;Sala de Juntes;;No;;;;80;;Taules i cadires;;;;;;;;;;;;Fac. CC. de la Comunicació;108,0;108;
I0/334;I;Sala d'actes, reunions i juntes;Sala de Graus;;Sí;;;;70;;Cadires pala;; ;Is-325-301;;;;;Aire condicionat;;Sí;;Fac. CC. de la Comunicació;97,0;97;
;;;;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Megafonia;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Micròfons de taula;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I1/010;I;Aula magna;Aula Magna;Capacitat a causa del covid-19: 47 persones ;;;124;;248;;Butaques;2= blanca i verda; ; ;Sí;;;VHS;Accés per a minusvàlids;;Sí;;Fac. CC. de la Comunicació;233,0;233;
;;;;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;DVD;;Sí;;;;;
