Date;Hour;Q-Enginyeria (Cos Central) [kWh] [Q-Enginyeria];Q-Enginyeria (Espina 4) [kWh] [Q-Enginyeria];Q-Enginyeria (Química) [kWh] [Q-Enginyeria]
01/01/2018;00:00;48,00;2,00;127,00
01/01/2018;01:00;47,40;2,04;128,00
01/01/2018;02:00;48,60;1,97;126,00
01/01/2018;03:00;47,40;2,08;125,50
01/01/2018;04:00;48,00;2,01;124,50
01/01/2018;05:00;61,60;2,03;127,50
01/01/2018;06:00;69,40;2,04;127,50
01/01/2018;07:00;72,30;2,12;129,00
01/01/2018;08:00;69,70;1,71;126,00
01/01/2018;09:00;69,00;1,62;124,50
01/01/2018;10:00;67,60;1,58;128,50
01/01/2018;11:00;68,00;1,60;129,00
01/01/2018;12:00;68,20;1,60;126,50
01/01/2018;13:00;68,00;1,58;128,00
01/01/2018;14:00;67,50;1,64;131,50
01/01/2018;15:00;64,50;1,58;131,00
01/01/2018;16:00;66,00;1,62;127,50
01/01/2018;17:00;68,50;1,88;127,50
01/01/2018;18:00;74,50;2,15;129,50
01/01/2018;19:00;69,00;2,13;132,00
01/01/2018;20:00;52,20;2,11;126,50
01/01/2018;21:00;48,80;2,17;129,50
01/01/2018;22:00;48,20;2,24;126,00
01/01/2018;23:00;48,60;2,10;129,00
02/01/2018;00:00;47,70;2,02;127,00
02/01/2018;01:00;47,70;2,03;123,50
02/01/2018;02:00;47,60;2,00;128,50
02/01/2018;03:00;47,40;2,02;126,00
02/01/2018;04:00;47,30;1,98;126,50
02/01/2018;05:00;40,00;1,51;64,00
02/01/2018;06:00;68,80;2,03;126,50
02/01/2018;07:00;74,00;2,12;127,50
02/01/2018;08:00;73,00;1,75;181,00
02/01/2018;09:00;71,00;1,58;150,00
02/01/2018;10:00;70,20;1,63;150,50
02/01/2018;11:00;69,80;1,57;156,00
02/01/2018;12:00;71,40;1,61;156,50
02/01/2018;13:00;68,80;1,61;142,50
02/01/2018;14:00;69,50;1,58;137,50
02/01/2018;15:00;70,50;1,64;136,50
02/01/2018;16:00;69,20;1,56;138,00
02/01/2018;17:00;70,80;1,83;133,50
02/01/2018;18:00;77,50;2,14;129,50
02/01/2018;19:00;70,50;2,20;132,00
02/01/2018;20:00;55,50;2,27;130,50
02/01/2018;21:00;51,30;2,19;131,50
02/01/2018;22:00;48,00;2,14;129,00
02/01/2018;23:00;48,00;2,14;128,00
03/01/2018;00:00;49,70;2,03;128,00
03/01/2018;01:00;48,70;2,01;128,00
03/01/2018;02:00;49,60;2,04;129,00
03/01/2018;03:00;49,00;2,04;130,00
03/01/2018;04:00;49,20;2,05;126,00
03/01/2018;05:00;58,20;2,05;130,00
03/01/2018;06:00;69,30;2,02;126,00
03/01/2018;07:00;73,30;2,12;128,50
03/01/2018;08:00;72,00;1,84;174,50
03/01/2018;09:00;70,00;1,60;146,50
03/01/2018;10:00;70,70;1,64;160,50
03/01/2018;11:00;72,00;1,65;165,00
03/01/2018;12:00;70,30;1,60;169,00
03/01/2018;13:00;67,70;1,64;183,00
03/01/2018;14:00;65,30;1,62;182,00
03/01/2018;15:00;66,00;1,61;173,50
03/01/2018;16:00;65,20;1,68;158,00
03/01/2018;17:00;67,80;1,80;147,50
03/01/2018;18:00;73,00;2,16;144,00
03/01/2018;19:00;66,40;2,14;136,50
03/01/2018;20:00;50,30;2,20;129,50
03/01/2018;21:00;48,30;2,21;133,00
03/01/2018;22:00;47,70;2,14;129,00
03/01/2018;23:00;47,70;2,19;132,50
04/01/2018;00:00;47,30;2,04;129,50
04/01/2018;01:00;47,30;2,07;131,50
04/01/2018;02:00;47,20;2,09;127,00
04/01/2018;03:00;47,50;2,05;128,00
04/01/2018;04:00;47,70;2,01;136,50
04/01/2018;05:00;56,60;2,10;133,00
04/01/2018;06:00;69,00;2,03;133,50
04/01/2018;07:00;73,70;2,17;136,50
04/01/2018;08:00;71,00;1,80;179,00
04/01/2018;09:00;67,70;1,62;150,00
04/01/2018;10:00;66,60;1,68;159,00
04/01/2018;11:00;66,43;1,63;165,00
04/01/2018;12:00;65,77;1,65;155,00
04/01/2018;13:00;64,20;1,64;164,50
04/01/2018;14:00;63,30;1,68;198,50
04/01/2018;15:00;62,30;1,63;175,50
04/01/2018;16:00;62,70;1,70;169,50
04/01/2018;17:00;63,50;1,75;151,00
04/01/2018;18:00;70,00;2,20;149,00
04/01/2018;19:00;66,20;2,22;138,00
04/01/2018;20:00;49,30;2,19;130,50
04/01/2018;21:00;50,00;2,23;134,00
04/01/2018;22:00;49,30;2,16;133,00
04/01/2018;23:00;49,20;2,19;135,50
05/01/2018;00:00;47,50;2,08;133,50
05/01/2018;01:00;47,00;2,06;133,00
05/01/2018;02:00;47,30;2,05;130,50
05/01/2018;03:00;47,70;2,11;133,00
05/01/2018;04:00;47,30;2,06;132,50
05/01/2018;05:00;56,00;2,09;135,00
05/01/2018;06:00;68,20;1,98;131,50
05/01/2018;07:00;73,50;2,22;134,00
05/01/2018;08:00;78,30;1,78;175,00
05/01/2018;09:00;72,70;1,63;149,50
05/01/2018;10:00;74,30;1,69;152,50
05/01/2018;11:00;69,60;1,66;166,17
05/01/2018;12:00;69,40;1,65;172,33
05/01/2018;13:00;66,40;1,64;166,00
05/01/2018;14:00;66,00;1,75;172,00
05/01/2018;15:00;64,80;1,61;165,50
05/01/2018;16:00;68,50;1,69;146,50
05/01/2018;17:00;71,30;1,83;140,50
05/01/2018;18:00;77,20;2,17;134,50
05/01/2018;19:00;72,80;2,16;129,50
05/01/2018;20:00;54,00;2,23;130,00
05/01/2018;21:00;50,70;2,22;131,00
05/01/2018;22:00;50,00;2,20;127,50
05/01/2018;23:00;50,30;2,16;128,00
06/01/2018;00:00;49,00;2,09;128,00
06/01/2018;01:00;49,40;2,06;128,00
06/01/2018;02:00;49,30;2,08;127,50
06/01/2018;03:00;49,70;2,05;125,00
