Data inicial;Hora inicial;Data final;Hora final;Total hores;Espai;Estudi;Activitat;Alumnes matriculats;Modalitat docencia;Observacions
07/01/2021;08:30;07/01/2021;09:30;1;Q2/1003;6084 Enginyeria de Telecomunicació / Telecommunication Engineering;102700 Serveis de Telecomunicació - 331;Sense grup de matricula; ; 
 ; ; ; ; ;Q2/1003;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;102700 Serveis de Telecomunicació - 331;Sense grup de matricula; ; 
 ; ; ; ; ;Q2/1003;10064 Enginyeria de Sistemes de Telecomunicació;102700 Serveis de Telecomunicació - 331;Sense grup de matricula; ; 
07/01/2021;08:30;07/01/2021;09:30;1;Q3/0003;10063 Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 31;71; ; 
 ; ; ; ; ;Q3/0003;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 31;71; ; 
 ; ; ; ; ;Q3/0003;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 31;71; ; 
 ; ; ; ; ;Q3/0003;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 31;71; ; 
 ; ; ; ; ;Q3/0003;10064 Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 31;71; ; 
07/01/2021;08:30;07/01/2021;09:30;1;Q2/1005;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;102720 Disseny Microelectrònic - 321;Sense grup de matricula; ; 
 ; ; ; ; ;Q2/1005;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;102720 Disseny Microelectrònic - 321;Sense grup de matricula; ; 
 ; ; ; ; ;Q2/1005;10063 Enginyeria Electrònica de Telecomunicació;102720 Disseny Microelectrònic - 321;Sense grup de matricula; ; 
07/01/2021;08:30;07/01/2021;10:30;2;Q1/1007;10062 Enginyeria Informàtica;102760 Gestió de Projectes - 414;Sense grup de matricula; ; 
 ; ; ; ; ;Q1/1007;6121 Enginyeria Informàtica / Computer Engineering;102760 Gestió de Projectes - 414;Sense grup de matricula; ; 
07/01/2021;08:30;07/01/2021;10:30;2;Q4/0011;10064 Enginyeria de Sistemes de Telecomunicació;103799 Fonaments d'Informàtica - 33;79; ; 
 ; ; ; ; ;Q4/0011;10063 Enginyeria Electrònica de Telecomunicació;103799 Fonaments d'Informàtica - 33;79; ; 
 ; ; ; ; ;Q4/0011;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103799 Fonaments d'Informàtica - 33;79; ; 
07/01/2021;08:30;07/01/2021;10:30;2;Q1/0007;;Examen final 104535 Bases de dades (2 aules);0; ; 
