Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Característiques específiques;;Valor característiques específiques;;Superfície Centre Gestor;Metres
QC/0029;Q;Sala d'actes, reunions i juntes;Sala de juntes;;Aire condicionat;;Sí;;61,0;61
;;;;;Canó projecció fix;;Sí;;;
;;;;;Connexió xarxa;;Sí;;;
;;;;;Connexió xarxa sense fil;;Sí;;;
;;;;;Megafonia;;Sí;;;
;;;;;Ordinador;;amb DVD - USB;;;
;;;;;Pantalla carril;;Sí;;;
;;;;;Pissarra;;blanca -pantalla;;;
;;;;;Retroprojector;;Sí;;;
;;;;;Vídeo;; ;;;
;;;;;Videoconferència;;Sí;;;
QC/0091;Q;Sala d'actes, reunions i juntes;Sala reunions DEQBA;;Ordinador;; ;;17,0;17
;;;;;Pissarra;;verda -pantalla;;;
;;;;;Vídeo;; ;;;
QC/2027;Q;Sala d'actes, reunions i juntes;Sala de reunions;;;;;;18,0;18
QC/3115.5;Q;Sala d'actes, reunions i juntes;Sala reunions;;Aire condicionat;;Sí;;15,0;15
;;;;;Connexió a la xarxa (nombre);;4;;;
;;;;;Connexió xarxa sense fil;;Sí;;;
;;;;;Ordinador;; ;;;
;;;;;Pissarra;;blanca -pantalla;;;
;;;;;Vídeo;; ;;;
QS/1002;Q;Sala d'actes, reunions i juntes;Sala de professorat;;;;;;18,0;18
Q1/0003;Q;Sala d'actes, reunions i juntes;Sala de graus (2 portes);;Aire condicionat;;Sí;;106,0;106
;;;;;Canó projecció fix;;Sí;;;
;;;;;Connexió xarxa;;Sí;;;
;;;;;Connexió xarxa sense fil;;Sí;;;
;;;;;Faristol;;Sí;;;
;;;;;Megafonia;;Sí;;;
;;;;;Micròfons de taula;;Sí;;;
;;;;;Ordinador;;amb DVD - USB;;;
;;;;;Pantalla carril;;Sí;;;
;;;;;Pissarra;;verda -pantalla;;;
;;;;;Retroprojector;;Sí;;;
;;;;;Vídeo;; ;;;
Q1/1003;Q;Aules docents;Aula Q1/1003 (dues portes);;Aire condicionat;;Sí;;106,0;106
;;;;;Canó projecció fix;;Sí;;;
;;;;;Connexió xarxa sense fil;;Sí;;;
;;;;;Megafonia;;Sí;;;
;;;;;Micròfon de corbata;;Sí;;;
;;;;;Ordinador;;amb USB;;;
;;;;;Pantalla carril;;Sí;;;
;;;;;Pissarra;;verda -pantalla;;;
;;;;;Tarima;;Sí;;;
;;;;;Vídeo;; ;;;
Q1/1007;Q;Aules docents;Aula Q1/1007 (dues portes);;Aire condicionat;;Sí;;102,0;102
;;;;;Canó projecció fix;;Sí;;;
;;;;;Connexió xarxa sense fil;;Sí;;;
;;;;;Megafonia;;Sí;;;
;;;;;Micròfon de corbata;;Sí;;;
;;;;;Ordinador;;amb USB;;;
;;;;;Pantalla carril;;Sí;;;
;;;;;Pissarra;;verda -pantalla;;;
;;;;;Tarima;;Sí;;;
;;;;;Vídeo;; ;;;
Q1/1011;Q;Aules docents;Aula Q1/1011 (tres portes);;Aire condicionat;;Sí;;155,0;155
;;;;;Canó projecció fix;;Sí;;;
;;;;;Connexió xarxa sense fil;;Sí;;;
;;;;;Megafonia;;Sí;;;
;;;;;Micròfon de corbata;;Sí;;;
;;;;;Ordinador;;amb USB;;;
;;;;;Pantalla carril;;Sí;;;
;;;;;Pissarra;;verda -pantalla;;;
;;;;;Tarima;;Sí;;;
;;;;;Vídeo;; ;;;
Q2/1003;Q;Aules docents;Aula Q2/1003;;Aire condicionat;;Sí;;80,0;80
;;;;;Canó projecció fix;;Sí;;;
;;;;;Connexió xarxa sense fil;;Sí;;;
;;;;;Megafonia;;Sí;;;
;;;;;Micròfon de corbata;;Sí;;;
;;;;;Ordinador;;amb USB;;;
;;;;;Pantalla carril;;Sí;;;
;;;;;Pissarra;;verda -pantalla;;;
;;;;;Tarima;;Sí;;;
;;;;;Vídeo;; ;;;
Q2/1005;Q;Aules docents;Aula Q2/1005 (dues portes);;Aire condicionat;;Sí;;76,0;76
;;;;;Canó projecció fix;;Sí;;;
;;;;;Connexió xarxa sense fil;;Sí;;;
;;;;;Megafonia;;Sí;;;
;;;;;Micròfon de corbata;;Sí;;;
;;;;;Ordinador;;amb USB;;;
