Date;Hour;Sabadell (General) [kWh]
01/01/2018;00:00;14,00
01/01/2018;01:00;13,60
01/01/2018;02:00;13,90
01/01/2018;03:00;13,40
01/01/2018;04:00;13,80
01/01/2018;05:00;14,20
01/01/2018;06:00;14,70
01/01/2018;07:00;14,80
01/01/2018;08:00;12,10
01/01/2018;09:00;12,20
01/01/2018;10:00;11,40
01/01/2018;11:00;11,50
01/01/2018;12:00;11,40
01/01/2018;13:00;11,40
01/01/2018;14:00;11,60
01/01/2018;15:00;12,00
01/01/2018;16:00;11,90
01/01/2018;17:00;14,80
01/01/2018;18:00;16,60
01/01/2018;19:00;16,60
01/01/2018;20:00;16,50
01/01/2018;21:00;16,00
01/01/2018;22:00;13,70
01/01/2018;23:00;13,80
02/01/2018;00:00;14,10
02/01/2018;01:00;14,30
02/01/2018;02:00;13,80
02/01/2018;03:00;13,50
02/01/2018;04:00;14,10
02/01/2018;05:00;10,80
02/01/2018;06:00;14,30
02/01/2018;07:00;17,30
02/01/2018;08:00;14,50
02/01/2018;09:00;13,60
02/01/2018;10:00;13,80
02/01/2018;11:00;13,00
02/01/2018;12:00;13,10
02/01/2018;13:00;13,30
02/01/2018;14:00;13,20
02/01/2018;15:00;11,80
02/01/2018;16:00;11,70
02/01/2018;17:00;13,70
02/01/2018;18:00;16,40
02/01/2018;19:00;17,00
02/01/2018;20:00;16,80
02/01/2018;21:00;16,20
02/01/2018;22:00;13,80
02/01/2018;23:00;14,00
03/01/2018;00:00;13,90
03/01/2018;01:00;13,60
03/01/2018;02:00;13,70
03/01/2018;03:00;14,00
03/01/2018;04:00;14,40
03/01/2018;05:00;14,40
03/01/2018;06:00;14,50
03/01/2018;07:00;20,00
03/01/2018;08:00;20,40
03/01/2018;09:00;20,10
03/01/2018;10:00;19,10
03/01/2018;11:00;18,90
03/01/2018;12:00;18,90
03/01/2018;13:00;19,30
03/01/2018;14:00;18,70
03/01/2018;15:00;13,50
03/01/2018;16:00;13,10
03/01/2018;17:00;14,60
03/01/2018;18:00;17,70
03/01/2018;19:00;17,40
03/01/2018;20:00;18,40
03/01/2018;21:00;17,30
03/01/2018;22:00;15,50
03/01/2018;23:00;15,00
04/01/2018;00:00;14,80
04/01/2018;01:00;15,00
04/01/2018;02:00;15,20
04/01/2018;03:00;15,20
04/01/2018;04:00;15,20
04/01/2018;05:00;15,40
04/01/2018;06:00;16,00
04/01/2018;07:00;22,24
04/01/2018;08:00;20,08
04/01/2018;09:00;20,08
04/01/2018;10:00;20,08
04/01/2018;11:00;20,08
04/01/2018;12:00;19,66
04/01/2018;13:00;18,10
04/01/2018;14:00;17,60
04/01/2018;15:00;13,10
04/01/2018;16:00;13,20
04/01/2018;17:00;15,00
04/01/2018;18:00;18,10
04/01/2018;19:00;18,10
04/01/2018;20:00;18,40
04/01/2018;21:00;17,20
04/01/2018;22:00;15,70
04/01/2018;23:00;15,30
05/01/2018;00:00;14,90
05/01/2018;01:00;15,10
05/01/2018;02:00;15,30
05/01/2018;03:00;15,00
05/01/2018;04:00;16,00
05/01/2018;05:00;15,70
05/01/2018;06:00;16,00
05/01/2018;07:00;20,60
05/01/2018;08:00;19,30
05/01/2018;09:00;19,30
05/01/2018;10:00;20,00
05/01/2018;11:00;22,14
05/01/2018;12:00;47,06
05/01/2018;13:00;52,00
05/01/2018;14:00;16,00
05/01/2018;15:00;13,50
05/01/2018;16:00;13,70
05/01/2018;17:00;15,00
05/01/2018;18:00;17,80
05/01/2018;19:00;18,40
05/01/2018;20:00;18,60
05/01/2018;21:00;18,00
05/01/2018;22:00;16,30
05/01/2018;23:00;15,50
06/01/2018;00:00;15,50
06/01/2018;01:00;15,50
06/01/2018;02:00;15,50
06/01/2018;03:00;15,90
06/01/2018;04:00;15,60
06/01/2018;05:00;16,00
06/01/2018;06:00;16,00
06/01/2018;07:00;15,50
06/01/2018;08:00;12,90
06/01/2018;09:00;12,70
06/01/2018;10:00;12,90
06/01/2018;11:00;12,50
06/01/2018;12:00;12,60
06/01/2018;13:00;13,00
06/01/2018;14:00;12,50
06/01/2018;15:00;13,10
06/01/2018;16:00;12,70
06/01/2018;17:00;16,30
06/01/2018;18:00;17,90
06/01/2018;19:00;17,90
06/01/2018;20:00;17,70
06/01/2018;21:00;18,40
06/01/2018;22:00;15,90
06/01/2018;23:00;15,70
07/01/2018;00:00;16,00
07/01/2018;01:00;15,80
07/01/2018;02:00;15,70
07/01/2018;03:00;15,80
07/01/2018;04:00;15,70
07/01/2018;05:00;16,60
07/01/2018;06:00;15,70
07/01/2018;07:00;15,50
07/01/2018;08:00;14,40
07/01/2018;09:00;14,00
07/01/2018;10:00;12,80
07/01/2018;11:00;12,50
07/01/2018;12:00;12,40
07/01/2018;13:00;13,30
07/01/2018;14:00;12,60
07/01/2018;15:00;13,70
07/01/2018;16:00;15,70
07/01/2018;17:00;16,10
07/01/2018;18:00;50,10
07/01/2018;19:00;49,80
07/01/2018;20:00;54,30
07/01/2018;21:00;55,10
07/01/2018;22:00;53,30
07/01/2018;23:00;52,30
08/01/2018;00:00;52,00
08/01/2018;01:00;52,10
08/01/2018;02:00;52,00
08/01/2018;03:00;52,30
08/01/2018;04:00;54,00
08/01/2018;05:00;63,90
08/01/2018;06:00;64,00
08/01/2018;07:00;72,70
08/01/2018;08:00;94,20
08/01/2018;09:00;99,20
08/01/2018;10:00;99,20
08/01/2018;11:00;96,20
08/01/2018;12:00;95,20
08/01/2018;13:00;94,40
08/01/2018;14:00;91,30
08/01/2018;15:00;87,90
08/01/2018;16:00;89,40
08/01/2018;17:00;94,70
08/01/2018;18:00;97,30
08/01/2018;19:00;91,10
08/01/2018;20:00;84,50
08/01/2018;21:00;28,20
08/01/2018;22:00;20,90
08/01/2018;23:00;19,90
09/01/2018;00:00;19,80
09/01/2018;01:00;20,00
09/01/2018;02:00;19,90
09/01/2018;03:00;19,90
09/01/2018;04:00;23,10
09/01/2018;05:00;48,90
09/01/2018;06:00;66,80
09/01/2018;07:00;73,20
09/01/2018;08:00;85,50
09/01/2018;09:00;81,90
09/01/2018;10:00;85,20
09/01/2018;11:00;87,40
09/01/2018;12:00;88,10
09/01/2018;13:00;86,30
09/01/2018;14:00;81,40
09/01/2018;15:00;85,10
09/01/2018;16:00;88,60
09/01/2018;17:00;93,30
09/01/2018;18:00;95,10
09/01/2018;19:00;87,30
09/01/2018;20:00;78,70
09/01/2018;21:00;25,90
09/01/2018;22:00;18,10
09/01/2018;23:00;18,10
10/01/2018;00:00;18,20
10/01/2018;01:00;18,40
10/01/2018;02:00;18,30
10/01/2018;03:00;18,10
10/01/2018;04:00;20,20
10/01/2018;05:00;46,40
10/01/2018;06:00;65,00
10/01/2018;07:00;74,20
10/01/2018;08:00;88,80
10/01/2018;09:00;89,00
10/01/2018;10:00;88,60
10/01/2018;11:00;89,60
10/01/2018;12:00;91,20
10/01/2018;13:00;86,20
10/01/2018;14:00;89,20
10/01/2018;15:00;85,40
10/01/2018;16:00;85,80
10/01/2018;17:00;96,60
10/01/2018;18:00;97,30
10/01/2018;19:00;88,50
10/01/2018;20:00;79,90
10/01/2018;21:00;27,90
10/01/2018;22:00;19,20
10/01/2018;23:00;18,80
11/01/2018;00:00;19,00
11/01/2018;01:00;19,00
11/01/2018;02:00;19,20
11/01/2018;03:00;18,90
11/01/2018;04:00;21,20
11/01/2018;05:00;46,40
11/01/2018;06:00;64,60
11/01/2018;07:00;73,70
11/01/2018;08:00;87,20
11/01/2018;09:00;85,00
11/01/2018;10:00;86,40
11/01/2018;11:00;90,10
11/01/2018;12:00;88,60
11/01/2018;13:00;89,30
11/01/2018;14:00;84,80
11/01/2018;15:00;81,90
11/01/2018;16:00;86,10
11/01/2018;17:00;93,20
11/01/2018;18:00;96,80
11/01/2018;19:00;91,20
11/01/2018;20:00;82,10
11/01/2018;21:00;28,40
11/01/2018;22:00;21,60
11/01/2018;23:00;21,40
12/01/2018;00:00;20,90
12/01/2018;01:00;20,80
12/01/2018;02:00;20,40
12/01/2018;03:00;20,50
12/01/2018;04:00;21,70
12/01/2018;05:00;49,20
12/01/2018;06:00;67,60
12/01/2018;07:00;76,10
12/01/2018;08:00;83,10
12/01/2018;09:00;89,40
12/01/2018;10:00;88,50
12/01/2018;11:00;85,10
12/01/2018;12:00;87,20
12/01/2018;13:00;83,10
12/01/2018;14:00;80,30
12/01/2018;15:00;83,10
12/01/2018;16:00;85,50
12/01/2018;17:00;93,00
12/01/2018;18:00;96,10
12/01/2018;19:00;84,00
12/01/2018;20:00;76,70
12/01/2018;21:00;26,60
12/01/2018;22:00;19,20
12/01/2018;23:00;19,50
13/01/2018;00:00;18,10
13/01/2018;01:00;18,40
13/01/2018;02:00;18,00
13/01/2018;03:00;18,60
13/01/2018;04:00;17,80
13/01/2018;05:00;17,70
13/01/2018;06:00;17,70
13/01/2018;07:00;17,70
13/01/2018;08:00;16,10
13/01/2018;09:00;19,40
13/01/2018;10:00;19,80
13/01/2018;11:00;19,70
13/01/2018;12:00;19,50
13/01/2018;13:00;15,40
13/01/2018;14:00;15,40
13/01/2018;15:00;15,30
13/01/2018;16:00;15,80
13/01/2018;17:00;19,10
13/01/2018;18:00;20,60
13/01/2018;19:00;20,80
13/01/2018;20:00;20,40
13/01/2018;21:00;20,00
13/01/2018;22:00;18,60
13/01/2018;23:00;17,80
14/01/2018;00:00;18,00
14/01/2018;01:00;18,40
14/01/2018;02:00;17,40
14/01/2018;03:00;17,90
14/01/2018;04:00;18,20
14/01/2018;05:00;17,80
14/01/2018;06:00;17,70
14/01/2018;07:00;18,20
14/01/2018;08:00;15,00
14/01/2018;09:00;15,10
14/01/2018;10:00;15,20
14/01/2018;11:00;15,40
14/01/2018;12:00;15,50
14/01/2018;13:00;15,10
14/01/2018;14:00;15,10
14/01/2018;15:00;15,00
14/01/2018;16:00;15,40
14/01/2018;17:00;17,00
14/01/2018;18:00;20,60
14/01/2018;19:00;20,30
14/01/2018;20:00;20,30
14/01/2018;21:00;19,80
14/01/2018;22:00;17,60
14/01/2018;23:00;17,80
15/01/2018;00:00;17,40
15/01/2018;01:00;17,80
15/01/2018;02:00;17,30
15/01/2018;03:00;18,00
15/01/2018;04:00;21,50
