Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Accés per a minusvàlids;Aire condicionat;Capacitat exàmens;Capacitat;Capacitat docència;Connexió xarxa;Mobiliari;Porta secundària;Roseta xarxa núm.;Telèfon núm.;Televisor;Característiques específiques;;Valor característiques específiques;;Centre gestor;Superfície Centre Gestor;Metres;
S/108;S;Sala d'actes, reunions i juntes;Sala de juntes;;Sí;;;;28;;Taula i cadires; ; ;;;Aire condicionat;;Sí;;Adm. Sabadell;63,0;63;
;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
S/109;S;Sala d'actes, reunions i juntes;Sala de reunions;;Sí;;;;14;;Taules i cadires; ; ;;;Aire condicionat;;Sí;;Adm. Sabadell;25,0;25;
;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
S/124;S;Sala d'actes, reunions i juntes;Sala de Graus;;Sí;;;;44;;Butaques amb pala; ; ;;;Aire condicionat;;Sí;;Adm. Sabadell;54,0;54;
;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;DVD;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;Vídeo;;VHS-DVD;;;;;
S/028A;S;Aules docents;Aula 4;S/028 porta secundària.  3 TV grans fixes que fan de pissarres interactives i monitors del pc.  Càmera fixa i micròfon d'ambient per retransmissions online. 4 ventiladors de sostre;Sí;;34;;69;Sí;Taules i cadires;; ;;;Aire condicionat;;Sí;;Escola d'Enginyeria;23,2;116;
;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;Megafonia;;Sí;;;;;
;;;;;;;;;;;;;;;;Micròfon de corbata;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Pissarra;;interactiva;;;;;
;;;;;;;;;;;;;;;;Pissarra interactiva;;Sí;;;;;
;;;;;;;;;;;;;;;;Televisor;;Sí;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat d'Economia i Empresa;92,8;;
S/-108;S;Aules docents;Aula 2;;Sí;;49;;98;Sí;Bancs pupitres;; ;;;Aire condicionat;;Sí;;Escola d'Enginyeria;95,2;119;
;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;Pantalla fixa;;Sí;;;;;
;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;Tarima;;Sí;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat d'Economia i Empresa;23,8;;
S2/022;S;Aules docents;Aula 24;Càmera robòtica i micro ambient al sostre;Sí;;40;;80;Sí;Bancs pupitres;; ;;;Aire condicionat;;Sí;;Facultat d'Economia i Empresa;72,0;90;
;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;Megafonia;;Sí;;;;;
;;;;;;;;;;;;;;;;Monitor d'ordinador;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;Tarima;;Sí;;;;;
;;;;;;;;;;;;;;;;Taules per a minusvàlids;;1;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Escola d'Enginyeria;18,0;;
S2/028;S;Aules docents;Aula 25;;Sí;;40;;80;Sí;Bancs pupitres;; ;;;Aire condicionat;;Sí;;Facultat d'Economia i Empresa;72,0;90;
;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;Megafonia;;Sí;;;;;
;;;;;;;;;;;;;;;;Monitor d'ordinador;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;Tarima;;Sí;;;;;
;;;;;;;;;;;;;;;;Taules per a minusvàlids;;1;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Escola d'Enginyeria;18,0;;
S2/034;S;Aules docents;Aula 26;;Sí;;40;;80;Sí;Bancs pupitres;; ;;;Aire condicionat;;Sí;;Escola d'Enginyeria;19,0;95;
;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;Megafonia;;Sí;;;;;
;;;;;;;;;;;;;;;;Monitor d'ordinador;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;;PC;;;;;
;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;Tarima;;Sí;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat d'Economia i Empresa;76,0;;
S2/-110;S;Aules docents;Aula 20;Micro ambient, altaveus i càmera robòtica;No;;22;;44;Sí;Bancs pupitres;; ;;;Aire condicionat;;Sí;;Facultat d'Economia i Empresa;14,0;70;
;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;Megafonia;;Sí;;;;;
;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;Pissarra interactiva;;Sí;;;;;
;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Escola d'Enginyeria;56,0;;
